Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/05 07:16:10	Plate Move - Imager to Stage	10812		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N+Pi_D1	gupta	Stroud	0 minute
2019/10/05 07:15:51	Plate Move - Storage to Stage	10606		96 Well Greiner Hanging, 1 Drop	Plate Movement		Bill	Crystal Screen HT	hkratochvil	DeGrado	0 minute
2019/10/05 07:12:25	Plate Inspection (Scheduled)	10812	104556	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	D45N+Pi_D1	gupta	Stroud	3.6 minutes
2019/10/05 07:11:55	Plate Move - Imager to Stage	10815		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N-Pi_D2	gupta	Stroud	0 minute
2019/10/05 07:11:34	Plate Move - Storage to Stage	10812		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N+Pi_D1	gupta	Stroud	0 minute
2019/10/05 07:07:57	Plate Inspection (Scheduled)	10815	104554	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	D45N-Pi_D2	gupta	Stroud	3.8 minutes
2019/10/05 07:07:27	Plate Move - Imager to Stage	10814		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N+Pi_D2	gupta	Stroud	0 minute
2019/10/05 07:07:08	Plate Move - Storage to Stage	10815		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N-Pi_D2	gupta	Stroud	0 minute
2019/10/05 07:03:36	Plate Inspection (Scheduled)	10814	104553	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	D45N+Pi_D2	gupta	Stroud	3.7 minutes
2019/10/05 07:03:06	Plate Move - Imager to Stage	10813		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N-Pi_D1	gupta	Stroud	0 minute
2019/10/05 07:02:43	Plate Move - Storage to Stage	10814		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N+Pi_D2	gupta	Stroud	0 minute
2019/10/05 06:58:08	Plate Inspection (Scheduled)	10813	104551	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	PiPT	D45N-Pi_D1	gupta	Stroud	4.8 minutes
2019/10/05 06:57:38	Plate Move - Imager to Stage	10837		96 Well Greiner Hanging, 1 Drop	Plate Movement		Fab	20191002_JCSGG4Ref_45D8.1_13mg/ml	cbillesboelle	Manglik	0 minute
2019/10/05 06:56:18	Plate Move - Storage to Stage	10813		96 Well Greiner Hanging, 1 Drop	Plate Movement		PiPT	D45N-Pi_D1	gupta	Stroud	0 minute
