Time	Event Type	Plate ID	Insp. ID	Plate Type	Light Path	Setting	Project	Experiment	User Name	Group	Duration
2019/10/11 01:06:26	Plate Move - Imager to Stage	10699		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray33_4C_TK1sc_LPb	abhisek	Minor	0 minute
2019/10/11 01:01:54	Plate Inspection (Scheduled)	10699	104910	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray33_4C_TK1sc_LPb	abhisek	Minor	4.3 minutes
2019/10/11 01:01:21	Plate Move - Imager to Stage	10700		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray34_4C_TKsc_AMb	abhisek	Minor	0 minute
2019/10/11 01:00:57	Plate Move - Storage to Stage	10699		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray33_4C_TK1sc_LPb	abhisek	Minor	0 minute
2019/10/11 00:56:53	Plate Inspection (Scheduled)	10700	104909	96 Well Greiner Hanging, 1 Drop	Visible	Visible (Default)	trek1s131c	Tray34_4C_TKsc_AMb	abhisek	Minor	4.3 minutes
2019/10/11 00:56:20	Plate Move - Storage to Stage	10700		96 Well Greiner Hanging, 1 Drop	Plate Movement		trek1s131c	Tray34_4C_TKsc_AMb	abhisek	Minor	0 minute
2019/10/10 15:55:36	Plate Move - Imager to Stage	10853		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	0 minute
2019/10/10 15:42:23	Plate Inspection (Scheduled)	10853	104888	96 Well Greiner Hanging, 1 Drop	Visible		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	12.9 minutes
2019/10/10 15:41:51	Plate Move - Storage to Stage	10853		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	0 minute
2019/10/10 15:38:34	Plate Move - Load Port to Stage	10887		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 15:37:34	Plate Move - Load Port to Stage	10888		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 15:37:18	Plate Move - Load Port to Stage	10890		96 Well MRC, 2 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 14:31:38	Plate Move - Storage to Stage	10887		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 14:31:23	Plate Move - Storage to Stage	10888		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 14:18:35	Plate Move - Imager to Stage	10852		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	Mb Class II-04-Oct-19	joana	Stroud	0 minute
2019/10/10 14:17:03	Plate Inspection (Scheduled)	10852	104887	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 1000ms (default)	Serinc3POPC	Mb Class II-04-Oct-19	joana	Stroud	1.2 minutes
2019/10/10 14:16:32	Plate Move - Storage to Stage	10852		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	Mb Class II-04-Oct-19	joana	Stroud	0 minute
2019/10/10 14:12:08	Plate Move - Imager to Stage	10853		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	0 minute
2019/10/10 14:11:20	Plate Move - Storage to Stage	10853		96 Well Greiner Hanging, 1 Drop	Plate Movement		Serinc3POPC	MemGold 2-04-Oct-19	joana	Stroud	0 minute
2019/10/10 14:08:40	Plate Move - Storage to Stage	10890		96 Well MRC, 2 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1MESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 10:17:02	Plate Move - Imager to Stage	10887		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 10:04:33	Plate Inspection (Scheduled)	10887	104884	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	12.2 minutes
2019/10/10 09:53:24	Plate Inspection (Scheduled)	10887	104884	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	11.2 minutes
2019/10/10 09:52:51	Plate Move - Imager to Stage	10888		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 09:51:26	Plate Move - Storage to Stage	10887		96 Well Greiner Hanging, 1 Drop	Plate Movement		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1HEPESCavsPEG	cbillesboelle	Manglik	0 minute
2019/10/10 09:38:58	Plate Inspection (Scheduled)	10888	104883	96 Well Greiner Hanging, 1 Drop	Ultraviolet	UV 100ms	DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	13.6 minutes
2019/10/10 09:27:02	Plate Inspection (Scheduled)	10888	104883	96 Well Greiner Hanging, 1 Drop	Visible		DIS41d54-45D8.1	20191008_DIS41d55miniC45D8.1GlycineCavsPEG	cbillesboelle	Manglik	11.9 minutes
